timestamp_sec,timestamp_nsec,sample_count,q_w,q_x,q_y,q_z,q_norm,dot_prev,angular_diff_rad,angular_diff_deg,roll_rad,pitch_rad,yaw_rad,yaw_deg,yaw_diff_rad,yaw_diff_deg,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,snap_detected,snap_magnitude_rad
40,460000000,1,0.9851961135864258,0.1710134893655777,0.011962988413870335,0.0,1.0000000544312877,0.0,0.0,0.0,0.3437895451424235,0.023573962790266585,0.004092813407470005,0.23450093458258855,0.0,0.0,-0.125,0.0625,-0.0625,0.01,0.0,-0.05,0,0.0
40,815000000,2,0.9851942658424377,0.17102409899234772,0.01196300145238638,0.0,1.0000000486443559,1.000000103017657,0.0,0.0,0.3438110844359876,0.02357394426698248,0.004093071785136186,0.2345157385323812,2.583776661816903e-07,1.4803949792650913e-05,0.75,0.0,0.0,0.0,-0.03,-0.02,0,0.0
41,177000000,3,0.9851880669593811,0.1710597723722458,0.011962956748902798,0.0,1.0000000426686904,1.0000000906575393,0.0,0.0,0.34388351090565095,0.023573707804110156,0.00409391022977393,0.23456377787147928,8.384446377436919e-07,4.803933909808875e-05,0.375,0.0,-0.0625,0.0,-0.02,-0.07,0,0.0
41,569000000,4,0.9851794242858887,0.1711094230413437,0.01196298934519291,0.0,1.0000000229019446,1.0000000643006932,0.0,0.0,0.34398431316806344,0.023573565207020506,0.00409510965204167,0.2346324997052748,1.1994222677402105e-06,6.872183379552429e-05,0.0,0.125,0.0,0.0,-0.02,-0.02,0,0.0
42,13000000,5,0.9851720929145813,0.17115162312984467,0.011963016353547573,0.0,1.0000000222589758,1.0000000442436223,0.0,0.0,0.3440699950093316,0.0235734429785812,0.004096128855432466,0.23469089575803284,1.0192033907960654e-06,5.839605275803724e-05,0.1875,0.0625,0.0625,0.0,0.0,-0.02,0,0.0
42,378000000,6,0.9851658344268799,0.17118749022483826,0.011963039636611938,0.0,0.9999999962244184,1.0000000178205855,0.0,0.0,0.34414281068766156,0.023573339084292887,0.004096995222266582,0.23474053492113778,8.663668341155756e-07,4.963916310493319e-05,-0.0625,0.0,-0.0625,-0.01,-0.04,0.0,0,0.0
42,829000000,7,0.9851590394973755,0.1712268739938736,0.011963041499257088,0.0,1.000000044921508,1.0000000403473013,0.0,0.0,0.344222791283955,0.023573180134112172,0.004097938413818992,0.23479457581636326,9.431915524099957e-07,5.404089522548494e-05,-0.125,-0.0625,-0.125,0.0,-0.02,-0.01,0,0.0
43,202000000,8,0.9851531982421875,0.17126034200191498,0.011963042430579662,0.0,1.0000000215668094,1.000000065911205,0.0,0.0,0.344290737387821,0.023573042172416254,0.004098739707235157,0.23484048654726117,8.012934161654231e-07,4.59107308978986e-05,0.375,-0.1875,-0.125,0.01,-0.03,0.01,0,0.0
43,698000000,9,0.985146701335907,0.17129766941070557,0.01196302380412817,0.0,1.0000000143185481,1.000000035167585,0.0,0.0,0.34436652515744487,0.023572849973912437,0.00409962665996774,0.23489130519546572,8.869527325823523e-07,5.0818648204564325e-05,0.0,-0.0625,0.0,0.01,-0.01,0.0,0,0.0
44,81000000,10,0.9851411581039429,0.17132940888404846,0.011963007971644402,0.0,0.9999999906493324,1.0000000044488195,0.0,0.0,0.3444309621113726,0.023572686106291277,0.0041003808350630125,0.23493451624543873,7.541750952728618e-07,4.321104997301174e-05,-0.1875,0.1875,-0.125,0.0,0.0,-0.01,0,0.0
44,434000000,11,0.9851365089416504,0.17135639488697052,0.011962995864450932,0.0,1.0000000342942268,1.0000000245686302,0.0,0.0,0.3444857698333504,0.023572550978342103,0.004101022523814376,0.23497128230265288,6.416887513632438e-07,3.676605721413352e-05,0.1875,0.1875,0.0,0.0,-0.04,-0.01,0,0.0
44,879000000,12,0.9851325154304504,0.17137931287288666,0.011962984688580036,0.0,1.000000027420884,1.0000000614445206,0.0,0.0,0.3445323013446887,0.02357243337752689,0.004101567173270528,0.23500248841780447,5.446494561519438e-07,3.120611515160197e-05,0.1875,-0.125,0.0625,0.01,-0.01,0.0,0,0.0
45,259000000,13,0.9851306676864624,0.17138990759849548,0.011962994001805782,0.0,1.0000000230342414,1.0000000503972948,0.0,0.0,0.34455381218061265,0.02357240751076319,0.004101823925735658,0.23501719925043604,2.5675246513069683e-07,1.4710832631568762e-05,0.0625,0.1875,0.0625,0.01,-0.03,-0.03,0,0.0
45,694000000,14,0.9851306676864624,0.17139002680778503,0.011963021010160446,0.0,1.000000043788618,1.0000000668228533,0.0,0.0,0.3445540613602845,0.02357246073906784,0.00410183604442706,0.2350178936003066,1.2118691401948045e-08,6.943498705531017e-07,0.1875,0.0,0.0625,0.0,-0.02,0.0,0,0.0
46,58000000,15,0.9851324558258057,0.1713797003030777,0.011962953954935074,0.0,1.0000000347323412,1.0000000784660414,0.0,0.0,0.3445330900238402,0.023572371380782005,0.004101565902293224,0.23500241559616913,-2.701421338360821e-07,-1.5478004137465737e-05,0.75,0.0625,0.0625,-0.01,-0.04,0.01,0,0.0
46,421000000,16,0.9851465821266174,0.17129828035831451,0.01196293905377388,0.0,1.0000000005201382,1.0000000318381,0.0,0.0,0.344367760087082,0.023572680091464022,0.004099612221833476,0.23489047795130838,-1.9536804597482943e-06,-0.00011193764486075557,3.9375,-0.125,0.0625,-0.01,-0.01,-0.08,0,0.0
46,793000000,17,0.9851856827735901,0.17107337713241577,0.011962922289967537,0.0,1.0000000207076352,0.9999999951726124,0.0001965174313826391,0.011259619418976975,0.34391112566483917,0.023573582828663966,0.0040942240238824095,0.23458175694953123,-5.388197951066397e-06,-0.0003087210017771422,0.25,-0.125,0.0,0.02,-0.02,0.0,0,0.0
47,155000000,18,0.9852219223976135,0.17086440324783325,0.011962944641709328,0.0,0.999999996357294,0.9999999945732315,0.00020836061977142476,0.011938184129632734,0.3434868361154493,0.02357449418835366,0.004089230444109613,0.2342956459038881,-4.993579772796623e-06,-0.00028611104564314305,-0.0625,-0.25,0.0625,0.0,-0.04,-0.02,0,0.0
47,516000000,19,0.9852527379989624,0.1706867814064026,0.011962964199483395,0.0,1.0000000237968834,1.0000000039046175,0.0,0.0,0.3431262300956009,0.023575270233363883,0.004084986220006072,0.2340524697754475,-4.244224103540882e-06,-0.00024317612844058787,0.1875,0.125,-0.125,-0.01,-0.02,-0.03,0,0.0
47,871000000,20,0.9852789044380188,0.17053580284118652,0.011962979100644588,0.0,1.0000000462251155,1.0000000582823951,0.0,0.0,0.3428197235028412,0.023575925835497037,0.004081378030324514,0.23384573573501155,-3.6081896815582173e-06,-0.00020673404043593835,-0.0625,-0.0625,-0.0625,-0.01,-0.04,0.0,0,0.0
48,224000000,21,0.9853010773658752,0.1704074591398239,0.011962991207838058,0.0,1.000000014173742,1.0000000519169863,0.0,0.0,0.3425591584122704,0.023576480356608306,0.004078310586027715,0.2336699841229135,-3.067444296798831e-06,-0.00017575161209804768,-0.25,-0.0625,-0.0625,0.02,0.0,-0.02,0,0.0
48,581000000,22,0.9853199124336243,0.17029836773872375,0.01196300145238638,0.0,0.9999999886482142,0.9999999966941093,0.00016262572180670955,0.009317767499793093,0.3423376847805956,0.02357695132331305,0.004075703255381456,0.23352059508108777,-2.6073306462585932e-06,-0.00014938904182573479,0.125,-0.0625,0.125,-0.01,-0.01,0.0,0,0.0
48,975000000,23,0.9853359460830688,0.17020563781261444,0.01196300983428955,0.0,0.9999999996954553,0.9999999839157109,0.0003587120200486843,0.02055268480940178,0.3421494416495237,0.023577351573678067,0.0040734868562226035,0.23339360476356916,-2.216399158852869e-06,-0.0001269903175186151,0.125,0.0625,-0.0625,-0.02,0.0,-0.03,0,0.0
49,354000000,24,0.9853495955467224,0.17012682557106018,0.011963018216192722,0.0,1.0000000380139074,1.0000000345105247,0.0,0.0,0.34198946345599934,0.023577694764609136,0.0040716035387580035,0.2332856986213643,-1.8833174646000136e-06,-0.0001079061422048596,-0.0625,-0.1875,0.0,0.0,-0.02,-0.02,0,0.0
